"Employer Name","CBA File","Location","Union","Expiration Date","NAICS*","#Wrkrs","Type"
"AGC, AK",1688,"AK","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 302","Dec 31, 2006","23621","4000","PRIVATE"
"AGC, AK",1689,"AK","IOUE 302","Dec 31, 2009","23731","3000","PRIVATE"
"AGC, AK",1774,"AK","PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 867",,"23731","3000","PRIVATE"
"AGC, AK",1775,"AK","PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 867","Jan 31, 2013","23731","3000","PRIVATE"
"AGC, AK",1776,"AK","PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 867","Jan 31, 2010","23731","1000","PRIVATE"
"AGC, AK",1777,"AK","TEAMSTERS (IBT) LOCAL UNION 959","Feb 28, 2011","23731","5875","PRIVATE"
"AGC, AZ (HVY-HWY)",901,"AZ","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 428","May 31, 2008","23731","1500","PRIVATE"
"AGC, AZ (HVY-HWY)",1682,"AZ","UBC SWRCC","Jun 30, 2005","23731","1000","PRIVATE"
"AGC, AZ (HVY-HWY)",1683,"AZ","UBC SWRCC","Jun 30, 2008","23731","1000","PRIVATE"
"AGC, CA",1332,"CA NORTHERN","- NO. CA DC","Jun 30, 2006","23621","21000","PRIVATE"
"AGC, CA",1333,"CA NORTHERN","LABORERS  (LIUNA) DISTRICT COUNCIL 0 NORTHERN CALIFORNIA","Jun 30, 2006","23621","21000","PRIVATE"
"AGC, CA",1655,"CA NORTHERN","UBC 46 NCCCB","Jun 30, 2008","23813","17000","PRIVATE"
"AGC, CA - NORTHERN",1237,"CA NORTHERN","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 3","Jun 15, 2006","23731","8500","PRIVATE"
"AGC, CA - NORTHERN",1340,"CA NORTHERN","LABORERS  (LIUNA) DISTRICT COUNCIL 0 NORTHERN CALIFORNIA","Jun 30, 2006","23731","1700","PRIVATE"
"AGC, CA - NORTHERN",2137,"CA","LABORERS  (LIUNA) NATIONAL HEADQUARTERS 0","Jun 30, 2019","813910",,"PRIVATE"
"AGC, CA - NORTHERN 46 COUNTIES",1353,"CA NORTHERN","UBC CARPENTERS' 46","Jun 30, 2008","23731","5000","PRIVATE"
"AGC, CA - NORTHERN 46 COUNTIES",1354,"CA NORTHERN","UBC CARPENTERS' 46","Jun 30, 2008","23731","5000","PRIVATE"
"AGC, CA - SAN DIEGO COUNTY",1171,"CA SAN DIEGO","LABORERS  (LIUNA) LOCAL UNION 89","Jun 30, 2006","23621","3000","PRIVATE"
"AGC, CA - SAN DIEGO COUNTY",1172,"CA SAN DIEGO","LABORERS  (LIUNA) LOCAL UNION 89","Jun 30, 2006","23621","3000","PRIVATE"
"AGC, CA (CEMENT MASON'S AGREEMENT)",1334,"CA NO CENTRAL","PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) DISTRICT COUNCIL 0 NORTHERN CALIFORNIA","Jun 15, 2009","23621","1600","PRIVATE"
"AGC, CA (CEMENT MASON'S AGREEMENT)",1335,"CA NO CENTRAL","PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) DISTRICT COUNCIL 0 NORTHERN CALIFORNIA","Jun 30, 2005","23621","1600","PRIVATE"
"AGC, CA (HVY-HWY & BLDG)",1235,"CA NORTHERN","IBT 94, 137, 150, ET A","Jun 15, 2006","23731","5000","PRIVATE"
"AGC, CA (HVY-HWY & BLDG)",1236,"CA NORTHERN","IBT 94,137,150,ET A","Jun 15, 2006","23731","5000","PRIVATE"
"AGC, CA (PILEDRIVERS)",1700,"CA NORTHERN","UBC 34",,"23731","1200","PRIVATE"
"AGC, CA (PILEDRIVERS)",1701,"CA NORTHERN","UBC 34","Jun 30, 2015","23731","1200","PRIVATE"
"AGC, CA (PILEDRIVERS)",1702,"CA NORTHERN","UBC 34","Jun 30, 2008","23731","1200","PRIVATE"
"AGC, CA (PILEDRIVERS)",1703,"CA NORTHERN","UBC 34","Jun 30, 2015","23731","1200","PRIVATE"
"AGC, CA (PILEDRIVERS)",1704,"CA NORTHERN","UBC 34","Jun 30, 2008","23731","1200","PRIVATE"
"AGC, CA (PILEDRIVERS)",1705,"CA NORTHERN","UBC 34","Jun 30, 2012","23731","1200","PRIVATE"
"AGC, CA & BIA, & SCCA",1162,"CA SOUTHERN","IBT 87 & JC 42","Jun 30, 2006","23621","2500","PRIVATE"
"AGC, CA & BIA, & SCCA",1163,"CA SOUTHERN","IBT 87 & JC 42","Jun 30, 2006","23621","2500","PRIVATE"
"AGC, CA & BIASC & SCCA",1146,"CA SOUTHERN","PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 500","Jun 30, 2006","23731","5500","PRIVATE"
"AGC, CA & BIASC & SCCA",1147,"CA SOUTHERN","PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 500","Jun 30, 2006","23731","5500","PRIVATE"
"AGC, CA SAN DIEGO",1152,"CA SAN DIEGO","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 12","Jun 30, 2007","23621","1700","PRIVATE"
"AGC, CA SAN DIEGO",1153,"CA SAN DIEGO","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 12","Jun 30, 2007","23621","1700","PRIVATE"
"AGC, CO",1497,"CO","UBC MWRCC","Apr 30, 2007","23622","1200","PRIVATE"
"AGC, CT & CCIA BLDG CONTRACTORS (BLDG)",1212,"CT","LABORERS  (LIUNA) LOCAL UNION 390/LABORERS  (LIUNA) LOCAL UNION 449/LABORERS  (LIUNA) LOCAL UNION 455/LABORERS  (LIUNA) LOCAL UNION 46/LABORERS  (LIUNA) LOCAL UNION 547/LABORERS  (LIUNA) LOCAL UNION 665/LABORERS  (LIUNA) LOCAL UNION 675","Mar 31, 2005",,,"PRIVATE"
"AGC, CT & CCIA BLDG CONTRACTORS (BLDG)",1213,"CT","LABORERS  (LIUNA) DISTRICT COUNCIL 0 CONNECTICUT","Mar 31, 2012","23621","1500","PRIVATE"
"AGC, CT/CCIA & MASON CONTRACTORS ASSOCIATION (BLDG)",1220,"CT","BAC 1","Mar 31, 2012","23622","1070","PRIVATE"
"AGC, CT/CCIA & MASON CONTRACTORS ASSOCIATION (BLDG)",1221,"CT","BAC 1","Mar 31, 2006","23622","1070","PRIVATE"
"AGC, GA - ATLANTA",1416,"GA ATLANTA","UBC 225","Jun 30, 2007","23621","1300","PRIVATE"
"AGC, IL",1788,"IL","CJA -",,"23622","1000","PRIVATE"
"AGC, IL - CENTRAL IL BUILDERS",1671,"IL CENTRAL","LABORERS  (LIUNA) LOCAL UNION 159/LABORERS  (LIUNA) LOCAL UNION 171/LABORERS  (LIUNA) LOCAL UNION 253/LABORERS  (LIUNA) LOCAL UNION 477/LABORERS  (LIUNA) LOCAL UNION 624/LABORERS  (LIUNA) LOCAL UNION 703","Apr 30, 2008","23622","1300","PRIVATE"
"AGC, IL - CENTRAL IL BUILDERS, ET .AL.",1432,"IL CENTRAL","CJA MID-CNTRL IL DC","Apr 30, 2009","23622","4500","PRIVATE"
"AGC, IL - CENTRAL IL BUILDERS, ET .AL.",1433,"IL CENTRAL","UBC MID-CNTRL IL DC","Apr 30, 2006","23622","4500","PRIVATE"
"AGC, IL - EASTERN & OTHERS",919,"IL EASTERN","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 841","Dec 31, 2007","23622","1000","PRIVATE"
"AGC, IL -(EGYPTIAN CONTRACTORS ASSOCIATION)",1530,"IL","CJA -","Apr 30, 2008","23622","1000","PRIVATE"
"AGC, IL (HWY-HVY) HIGHWAY DISTRICT 5",903,"IL CENTRAL","LIUNA CNTRL IL DC","Apr 30, 2008","23731","1800","PRIVATE"
"AGC, IL (HWY-HVY) HIGHWAY DISTRICT 6",904,"IL CENTRAL","LIUNA CNTRL IL DC","Apr 30, 2009","23731","2300","PRIVATE"
"AGC, IL (HWY-HVY) HIGHWAY DISTRICTS 1-8",930,"IL","UBC D&RC","Jul 31, 2006","23731","11100","PRIVATE"
"AGC, IL (SEVEN COUNTIES)",2141,"CA","LABORERS  (LIUNA) LOCAL UNION 231","Apr 30, 2016","237310",,"PRIVATE"
"AGC, IL EGYPTIAN CONTRACTORS INC. ET AL (HVY/HWY DISTRICT 7&9)",905,"IL SOUTHERN","LABORERS  (LIUNA) DISTRICT COUNCIL 0 SOUTHERN ILLINOIS","Mar 31, 2008","23731","1200","PRIVATE"
"AGC, IN",1422,"IN INDIANAPOLIS","UBC IN RCC-CNTRL","May 31, 2008","23622","4800","PRIVATE"
"AGC, IN",1574,"IN","LABORERS  (LIUNA) LOCAL UNION 1047/LABORERS  (LIUNA) LOCAL UNION 1112/LABORERS  (LIUNA) LOCAL UNION 120/LABORERS  (LIUNA) LOCAL UNION 204/LABORERS  (LIUNA) LOCAL UNION 274/LABORERS  (LIUNA) LOCAL UNION 741","May 31, 2008","23622","4600","PRIVATE"
"AGC, IN",1686,"IN INDIANAPOLIS","LABORERS  (LIUNA) LOCAL UNION 1047/LABORERS  (LIUNA) LOCAL UNION 1112/LABORERS  (LIUNA) LOCAL UNION 120/LABORERS  (LIUNA) LOCAL UNION 204/LABORERS  (LIUNA) LOCAL UNION 274/LABORERS  (LIUNA) LOCAL UNION 741","May 31, 2005","23622","1500","PRIVATE"
"AGC, IN - SOUTHWEST",1685,"IN EVANSVILLE","LABORERS  (LIUNA) LOCAL UNION 561","Mar 31, 2006","23622","1100","PRIVATE"
"AGC, IN (BLDG, SEWER, WATER, UTILITY)",916,"IN SOUTHEAST","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 181","Mar 31, 2006","23731","2800","PRIVATE"
"AGC, IN (SOUTHERN BRANCH)",1952,"IN","PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 692/PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 821","Apr 30, 2017","238140","1730","PRIVATE"
"AGC, IN (SOUTHERN BRANCH)",1953,"IN","PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 692/PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 821","Apr 30, 2012","238140","1730","PRIVATE"
"AGC, MA",1149,"MA","LIUNA -","May 31, 2008",,,"PRIVATE"
"AGC, MA (BUILDING & SITE)",1151,"MA","LABORERS  (LIUNA) LOCAL UNION 133/LABORERS  (LIUNA) LOCAL UNION 138/LABORERS  (LIUNA) LOCAL UNION 157/LABORERS  (LIUNA) LOCAL UNION 175/LABORERS  (LIUNA) LOCAL UNION 22/LABORERS  (LIUNA) LOCAL UNION 223/LABORERS  (LIUNA) LOCAL UNION 243/LABORERS  (LIUNA) LOCAL UNION 385/LABORERS  (LIUNA) LOCAL UNION 39/LABORERS  (LIUNA) LOCAL UNION 429/LABORERS  (LIUNA) LOCAL UNION 473/LABORERS  (LIUNA) LOCAL UNION 560/LABORERS  (LIUNA) LOCAL UNION 596/LABORERS  (LIUNA) LOCAL UNION 609/LABORERS  (LIUNA) LOCAL UNION 610 CONSTRUCTION/LABORERS  (LIUNA) LOCAL UNION 721/LABORERS  (LIUNA) LOCAL UNION 876/LABORERS  (LIUNA) LOCAL UNION 999","May 31, 2012","23922","5500","PRIVATE"
"AGC, MA & BTEA",1350,"MA BOSTON","IRON WORKERS AFL-CIO (BSOIW) LOCAL UNION 7","Sep 15, 2006","23622","1200","PRIVATE"
"AGC, MA & BTEA OF BOSTON & E. MA (BLDG & SITE)",1150,"MA BOSTON","LABORERS  (LIUNA) DISTRICT COUNCIL 0 MASSACHUSETTS","May 31, 2008","23622","5500","PRIVATE"
"AGC, MA & BTEA OF BOSTON & EASTER MA",1160,"MA EASTERN","UBC VARIOUS LOCALS","Aug 31, 2015","236115","3600","PRIVATE"
"AGC, MA & BTEA OF BOSTON & EASTER MA",1269,"MA EASTERN","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 4","May 31, 2011","23622","3600","PRIVATE"
"AGC, MA & BTEA OF BOSTON & EASTER MA",1270,"MA EASTERN","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 4","May 31, 2008","23622","3600","PRIVATE"
"AGC, MA & BTEA OF BOSTON & EASTER MA",1271,"MA EASTERN","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 4","May 31, 2008","23622","3600","PRIVATE"
"AGC, MA, BTEA OF BOSTON",1161,"MA BOSTON","UBC 26, 33, 40,67,107, 111, 218, 275, 424, 475, 535, 624, 723, AND 1035","Aug 31, 2012","236115","10400","PRIVATE"
"AGC, MD - BALTIMORE",1417,"MD BALTIMORE","UBC BALTIMORE DC","Mar 31, 2008","23622","2000","PRIVATE"
"AGC, MD (BLDG CONSTRUCTION)",1435,"MD BALTIMORE","LABORERS  (LIUNA) LOCAL UNION 194","Mar 31, 2008","23622","2000","PRIVATE"
"AGC, MD (BUILDING)",966,"MD BALTIMORE","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 37","Mar 31, 2008","23622","1200","PRIVATE"
"AGC, MI",1164,"MI SAGINAW","UBC 706","Jul 16, 2006","23622","1375","PRIVATE"
"AGC, MI",1165,"MI SAGINAW","UBC 706","Jul 16, 2006","23622","1375","PRIVATE"
"AGC, MI - GREATER DETROIT",1141,"MI SOUTHEAST","TEAMSTERS (IBT) LOCAL UNION 247/TEAMSTERS (IBT) LOCAL UNION 339/TEAMSTERS (IBT) LOCAL UNION 614","Jun 1, 2003","23622","4000","PRIVATE"
"AGC, MI - GREATER DETROIT",1142,"MI SOUTHEAST","TEAMSTERS (IBT) LOCAL UNION 247/TEAMSTERS (IBT) LOCAL UNION 339/TEAMSTERS (IBT) LOCAL UNION 614","Jun 1, 2003","23622","4000","PRIVATE"
"AGC, MI - GREATER DETROIT",1531,"MI DETROIT","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 324","Jun 1, 2006","23622","7500","PRIVATE"
"AGC, MI - GREATER DETROIT",1532,"MI DETROIT","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 324","Jun 1, 2006","23622","7500","PRIVATE"
"AGC, MI - UPPER PENINSULA",1189,"MI ESCANABA","UBC MI RC","Apr 30, 2010","23622","1100","PRIVATE"
"AGC, MI (MONROE COUNTY)",1022,"MI MONROE CNTY","LABORERS  (LIUNA) LOCAL UNION 465","Jun 1, 2006","23622","1000","PRIVATE"
"AGC, MI (MONROE COUNTY)",1023,"MI MONROE CNTY","LABORERS  (LIUNA) LOCAL UNION 465","Jun 1, 2006","23622","1000","PRIVATE"
"AGC, MI (OAKLAND & LIVINGSTON COUNTIES)",1169,"MI OAKLAND CTY","LABORERS  (LIUNA) LOCAL UNION 1076","Jun 1, 2006","23622","1500","PRIVATE"
"AGC, MI (OAKLAND & LIVINGSTON COUNTIES)",1170,"MI OAKLAND CTY","LABORERS  (LIUNA) LOCAL UNION 1076","Jun 1, 2006","23622","1500","PRIVATE"
"AGC, MI (WAYNE & MACOMB COUNTIES)",1020,"MI WAYNE CNTY","LABORERS  (LIUNA) LOCAL UNION 334","Jun 1, 2006","23622","1700","PRIVATE"
"AGC, MI (WAYNE & MACOMB COUNTIES)",1021,"MI WAYNE CNTY","LABORERS  (LIUNA) LOCAL UNION 334","Jun 1, 2006","23622","1700","PRIVATE"
"AGC, MI & INDEPENDENTS-GREATER DETROIT",1472,"MI SOUTH CENTRAL","UBC RC","Jun 1, 2003","23622","5500","PRIVATE"
"AGC, MI & INDEPENDENTS-GREATER DETROIT",1473,"MI SOUTH CENTRAL","UBC RC","Jun 1, 2003","23622","5500","PRIVATE"
"AGC, MI & LENAWEE CONTRACTORS' ASSOCIATION.",878,"MI SOUTH CENTRAL","UBC 1004","May 31, 2003","23621","1200","PRIVATE"
"AGC, MI & LENAWEE CONTRACTORS' ASSOCIATION.",877,"MI SOUTH CENTRAL","UBC 1004","May 31, 2003","23621","1200","PRIVATE"
"AGC, MI & SOUTHWESTERN MI CONTRACTORS ASSOCIATION (BLDG)",1108,"MI SW","LABORERS  (LIUNA) LOCAL UNION 355","May 31, 2007","23621","1130","PRIVATE"
"AGC, MI & SOUTHWESTERN MI CONTRACTORS ASSOCIATION (BLDG)",1109,"MI SW","LABORERS  (LIUNA) LOCAL UNION 355","May 31, 2007","23621","1130","PRIVATE"
"AGC, MI & SOUTHWESTERN MICHIGAN CONTRACTORS ASSOCIATION.",1227,"MI SOUTHWEST","UBC MI RC","May 31, 2006","23622","1000","PRIVATE"
"AGC, MI & SOUTHWESTERN MICHIGAN CONTRACTORS ASSOCIATION.",1228,"MI SOUTHWEST","UBC MI RC","May 31, 2006","23622","1000","PRIVATE"
"AGC, MN",1088,"MI, ND, NW, WI","OPCMIA 633","Apr 30, 2014",,,"PRIVATE"
"AGC, MN",1643,"MN","IRON WORKERS AFL-CIO (BSOIW) LOCAL UNION 512","Apr 30, 2007","23622","1000","PRIVATE"
"AGC, MN",1644,"MN ST PAUL","IRON WORKERS AFL-CIO (BSOIW) LOCAL UNION 512","Apr 30, 2004","23622","1000","PRIVATE"
"AGC, MN",1645,"MN ST PAUL","IRON WORKERS AFL-CIO (BSOIW) LOCAL UNION 512","Apr 30, 2004","23622","1000","PRIVATE"
"AGC, MN (HVY-HWY-RR)",1086,"MN MINN-ST PAUL","PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 633","Apr 30, 2008","23731","1200","PRIVATE"
"AGC, MN (HVY-HWY-RR)",1087,"MN MINN-ST PAUL","PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 633","Apr 30, 2008","23731","1200","PRIVATE"
"AGC, MN (HVY-HWY-RR)",1242,"MN","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 49","Apr 30, 2008","23731","4200","PRIVATE"
"AGC, MN (HVY-HWY-RR)",1243,"MN","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 49","Apr 30, 2008","23731","4200","PRIVATE"
"AGC, MN (HVY-HWY-RR)",1699,"MN","TEAMSTERS (IBT) LOCAL UNION 160/TEAMSTERS (IBT) LOCAL UNION 346","Apr 30, 2009","23731","1000","PRIVATE"
"AGC, MN (HVY-RAILROAD & HVY CONSTRN DIV)",1505,"MN","CJA -","Apr 30, 2008","23622","1000","PRIVATE"
"AGC, MN & MN CONCR & MASONRY CONTR",1083,"MN MINN-ST PAUL","PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 633","Apr 30, 2007","23814","1200","PRIVATE"
"AGC, MN & MN CONCR & MASONRY CONTR",1084,"MN MINN-ST PAUL","PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 633","Apr 30, 2007","23814","1200","PRIVATE"
"AGC, MN & MN CONCR & MASONRY CONTR (METRO BLDG)",1695,"MN MINNEAPOLIS","LABORERS  (LIUNA) LOCAL UNION 132","Apr 30, 2007","23622","3500","PRIVATE"
"AGC, MN & MN CONCR & MASONRY CONTR (METRO BLDG)",1696,"MN MINNEAPOLIS","LABORERS  (LIUNA) LOCAL UNION 132","Apr 30, 2007","23622","3500","PRIVATE"
"AGC, MN & MN CONCRETE & MASONRY CONTRACTOR",1176,"MN ST PAUL","BRICKLAYERS AFL-CIO (BAC) LOCAL UNION 1","Apr 30, 2007","23814","1500","PRIVATE"
"AGC, MN & MN CONCRETE & MASONRY CONTRACTOR",1177,"MN ST PAUL","BRICKLAYERS AFL-CIO (BAC) LOCAL UNION 1","Apr 30, 2007","23814","1500","PRIVATE"
"AGC, MN BUILDERS DIVISION",1180,"MN","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 49","Apr 30, 2007","23622","1700","PRIVATE"
"AGC, MN BUILDERS DIVISION",1181,"MN","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 49","Apr 30, 2007","23622","1750","PRIVATE"
